"id","issue_id","body","created_at","updated_at","user_id","_fivetran_synced"
"1337197271","1383635883","Hi All,
I have upgraded to the latest 0.7.4 packages for Stripe (both the source and normal package) and I am still getting very similar errors as the original issue.

```
11:37:30  Database Error in model stg_stripe__plan (models/stg_stripe__plan.sql)
11:37:30    Syntax error: Unexpected keyword AS at [199:2]
11:37:30    compiled Code at target/run/stripe_source/models/stg_stripe__plan.sql
```

When I check out the compiled SQL I can see a field called `interval` listed in the select list:
```
    interval
    
 as plan_interval 
```

This is failing because on BigQuery `interval` is a reserved word and the query parser isn't liking the syntax.

I believe here that, to ensure issues like this do not happen, at least in BigQuery, they should be quoted using the tick so that reserved words can be referenced in a query i.e.:

```
    `interval`
    
 as plan_interval 
```

The above SQL now passes and the model is able to run.

Can this be looked into please?

It is worth noting that I am not using any `vars` or any additional configuration apart from running the model directly.","2022-12-05 11:49:06.000000 UTC","2022-12-05 11:50:28.000000 UTC","80682772","2024-08-07 21:43:48.849000 UTC"
"1337309011","1383635883","Looking at the solution above on using the `alias` function of the `vars` `stripe__plan_metadata` this did not work and will not fix this issue as the original code will always fail:

```
   interval
    
 as plan_interval 


    from base
),

final as (
    
    select 
        id as plan_id,
        active as is_active,
        amount,
        currency,
        plan_interval, -- Field is aliased within get_plan_columns macro
        interval_count,
        metadata,
        nickname,
        product_id

        
        , replace( 

  json_extract_scalar(metadata, '$.{'name': 'interval'}' )

, '""', '') as {'name':_'interval'},
replace( 

  json_extract_scalar(metadata, '$.{'alias': 'craig_interval'}' )

, '""', '') as {'alias':_'craig_interval'}
```

This is the SQL that is produced, and as you can see at the top of the query, the keyword is still used, whereas the `json_extract` is then used later. So the query is not fixed.","2022-12-05 13:08:07.000000 UTC","2022-12-05 13:08:07.000000 UTC","80682772","2024-08-07 21:43:48.849000 UTC"
"1337314981","1383635883","The interval column is not in the metadata column, but is instead a ""normal"" column:
![Screenshot 2022-12-05 at 13 12 24](https://user-images.githubusercontent.com/80682772/205645611-ac78971e-778e-4a3d-b74c-7ae24c502e62.png)
","2022-12-05 13:12:30.000000 UTC","2022-12-05 13:12:30.000000 UTC","80682772","2024-08-07 21:43:48.849000 UTC"
"1337571442","1383635883","Hi @CraigWilson-ZOE thanks for raising this with out team. I think the issue you are detailing is different from the original issue outlined in this Bug Report. This bug report was detailing reserved words within the `metadata` fields that are being parsed out via a `var`. 

Your bug however, is a field that is explicitly being selected within the model (regardless of the var) and could not be addressed using the metadata solution outlined in this bug report. 

I did try to recreate the issue you had using the latest version of the package(s) and saw the `interval` field was being backticked in the compiled code and ran successfully on BigQuery 🤔 
![image](https://user-images.githubusercontent.com/74217849/205674290-84cc9b79-6d15-409d-8bbe-7c8d18f8c411.png)

The quoting should be happening within the [get_plan_columns](https://github.com/fivetran/dbt_stripe_source/blob/f3da087187c97eb48cee6ff591056cc6f1be900e/macros/get_plan_columns.sql#L25-L26) macro from the source package. The only way I could see dbt skipping over the quote is if the `target.type` for your dbt adapter is not BigQuery. Would you be able to confirm that the profiles.yml for your dbt target is a BigQuery type in this instance? 

For a more immediate fix, you may be able to downgrade just your stripe_source package to `v0.7.3` as the only change from `v0.7.4` was some under the hood updates and adjusting this `interval` cast to be performed within the macro opposed to the select statement.","2022-12-05 15:25:17.000000 UTC","2022-12-05 15:25:17.000000 UTC","74217849","2024-08-07 21:43:48.849000 UTC"
"1337663740","1383635883","Ah! I think you have solved the issue for me actually.

We are using the `fal adapter` for our dbt, so that we can run Python models locally and not have to spin up a data proc cluster. This means that our `target.type` won't be BigQuery.

Here is a excerpt from our `profiles.yml`:

```yml
default:
  target: development
  outputs:
    development:
      type: fal
      threads: 16
      db_profile: warehouse

    warehouse:
      type: bigquery
      method: oauth
```

I am wondering how we might be able to get around this or have this changed to deal with these new type of adapters 🤔 ","2022-12-05 16:27:14.000000 UTC","2022-12-05 16:27:14.000000 UTC","80682772","2024-08-07 21:43:48.849000 UTC"
"1338006064","1383635883","@CraigWilson-ZOE that is definitely interesting and thanks for sharing! I can see how this would cause an error for you with the target.type not matching our supported warehouses target.type names. That being said, you are using BigQuery so I still feel this can be supported. I am just not entirely familiar with the fal target and how it differs from the basic BigQuery target.

As this is a different conversation from the one being had within this issue, I have opened a new FR on the source package (linked above) for us to continue the discussion. Feel free to add more context within that ticket.","2022-12-05 19:15:50.000000 UTC","2022-12-05 19:15:50.000000 UTC","74217849","2024-08-07 21:43:48.849000 UTC"
"1343027376","1477076384","@fivetran-jamie  so this is ready for review save for the error on databricks which i think is related to how i added null to price_id and plan_id in `stg_stripe__pricing ` in the opposite source table CTEs as an additional field, to help the unique tests pass in the `stg_stripe__pricing`. So I'm still thinking through how to go about this","2022-12-08 17:04:50.000000 UTC","2022-12-08 17:05:45.000000 UTC","91097070","2024-08-07 21:43:48.849000 UTC"
"1347004281","1478151646","Note on `stripe__subscription_line_items`
- For `stripe__subscription_line_items` I was thinking of just deleting this model since it's just taking invoice data and filtering for just those with a subscription id, so it's not that useful for customers. Further more we already have a `stripe__subscription_details` model. ","2022-12-12 18:20:28.000000 UTC","2022-12-12 18:20:28.000000 UTC","91097070","2024-08-07 21:43:48.849000 UTC"
"1347033597","1478151646","Hi @fivetran-jamie this is ready for review. This branch contains updates for the following
- new models `invoice details` and `account daily overview` (with new `int_stripe__account_daily` and `int_stripe__date_spine`)
- update on models `invoice line items` 

Note on stripe__subscription_line_items
- For `stripe__subscription_line_items` I was thinking of just deleting this model since it's just taking invoice data and filtering for just those with a subscription id, so it's not that useful for customers. Further more we already have a `stripe__subscription_details` model.

Lmk if you have any questions!
","2022-12-12 18:32:28.000000 UTC","2022-12-12 18:32:54.000000 UTC","91097070","2024-08-07 21:43:48.849000 UTC"
"1051291779","1053954498","this is in v0.5.1 which should be up on dbt hub shortly!","2022-02-25 21:40:59.000000 UTC","2022-02-25 21:40:59.000000 UTC","65564846","2024-08-07 21:43:48.013000 UTC"
